Date,Open,High,Low,Close,Volume,Adj Close
23/5/2006,37.75,39.22,37.75,37.96,620900,36.78
24/5/2006,37.13,37.57,35.87,36.52,638600,35.38
25/5/2006,37.18,38.32,36.98,38.32,367000,37.13
26/5/2006,38.74,38.74,37.77,38.55,269400,37.35
30/5/2006,39.5,39.72,38.11,38.17,559100,36.98
31/5/2006,38.9,39.13,38.12,38.85,350700,37.64
1/6/2006,37.2,38.58,37.17,38.53,641300,37.33
2/6/2006,39.31,39.39,38.8,39.13,277300,37.91
5/6/2006,40.27,40.27,38.1,38.13,436000,36.94
6/6/2006,38.03,38.03,36.72,37.01,663600,35.86
7/6/2006,36.31,37.55,35.82,36.14,484100,35.01
8/6/2006,35.27,35.38,33.62,35.27,812800,34.17
9/6/2006,35.75,36.19,34.86,35.07,542200,33.98
12/6/2006,35.48,35.63,33.76,33.78,584700,32.73
13/6/2006,32.66,33.15,31.82,32.2,1580900,31.2
14/6/2006,32.85,33.5,32.25,33.03,646800,32
15/6/2006,34.4,35.05,34,34.94,882200,33.85
16/6/2006,35,35,34.3,34.57,602300,33.49
19/6/2006,34.17,34.47,33.57,33.6,366100,32.55
20/6/2006,33.91,34.73,33.6,34.34,388500,33.27
21/6/2006,34.6,36.04,34.6,35.86,551000,34.74
22/6/2006,36,36.21,35.17,35.64,590000,34.53
23/6/2006,35.17,36.5,35.15,36.28,467800,35.15
26/6/2006,36.62,36.8,36.15,36.63,301500,35.49
27/6/2006,36.97,37.05,35.48,35.48,469200,34.38
28/6/2006,35.7,35.93,35,35.31,415200,34.21
29/6/2006,35.95,37.96,35.94,37.96,588500,36.78
30/6/2006,38.7,39.06,38.32,38.7,1069400,37.5
3/7/2006,39.4,40.23,39.32,40.23,561200,38.98
5/7/2006,40.1,40.46,38.85,39.37,685600,38.14
6/7/2006,39.5,39.99,39.04,39.73,411100,38.49
7/7/2006,39.68,39.88,38.95,39.03,500500,37.81
10/7/2006,38.39,39.13,38.25,38.67,401400,37.47
11/7/2006,39.03,39.76,38.79,39.76,512700,38.52
12/7/2006,40.11,40.46,39.37,39.49,519500,38.26
13/7/2006,39.48,39.5,38.28,38.33,647700,37.14
14/7/2006,38.9,39.13,38.34,38.97,459500,37.76
17/7/2006,38.32,38.67,37.4,37.4,777700,36.24
18/7/2006,37.89,37.96,36.43,37,800200,35.85
19/7/2006,36.9,38.51,36.9,38.44,515300,37.24
20/7/2006,38.21,38.33,36.83,36.83,415200,35.68
21/7/2006,37.08,37.3,35.81,35.81,646200,34.7
24/7/2006,35.5,36.82,35.19,36.69,1086500,35.55
25/7/2006,36.83,37.79,36.42,37.69,949400,36.52
26/7/2006,37.49,38.39,37.18,38.36,361800,37.17
27/7/2006,39.35,39.37,37.37,37.5,518000,36.33
28/7/2006,37.78,38.78,37.69,38.78,371400,37.57
31/7/2006,38.73,38.86,38.23,38.76,233900,37.55
1/8/2006,38.59,39.75,38.3,39.75,536600,38.51
2/8/2006,40.34,40.7,39.81,40.66,944300,39.39
3/8/2006,40.29,40.45,39.56,39.91,496400,38.67
4/8/2006,40.67,40.77,39.54,39.59,501700,38.36
7/8/2006,39.8,40.42,39.72,40.12,279900,38.87
8/8/2006,39.99,40.45,39.57,39.72,361100,38.48
9/8/2006,40.04,40.86,39.8,40.58,631000,39.32
10/8/2006,40.3,40.38,39.19,39.75,745600,38.51
11/8/2006,40.1,40.24,38.68,38.69,512100,37.49
14/8/2006,38.52,38.84,37.88,38.04,420300,36.86
15/8/2006,38.15,38.72,38.15,38.56,298300,37.36
16/8/2006,39.23,39.46,39.06,39.19,199600,37.97
17/8/2006,39.05,39.09,38.02,38.28,277300,37.09
18/8/2006,38.55,38.55,37.62,38.38,317100,37.19
21/8/2006,39.15,40.29,39,40.29,408000,39.04
22/8/2006,40,40.5,39.67,40.5,304100,39.24
23/8/2006,40.95,41.22,40.23,40.38,402700,39.12
24/8/2006,40.6,40.69,39.6,39.75,327300,38.51
25/8/2006,40.1,40.34,39.8,39.98,188200,38.74
28/8/2006,39.87,39.88,39.05,39.09,345900,37.87
29/8/2006,39.05,39.35,38.45,39.35,853100,38.12
30/8/2006,39.86,40.1,39.1,39.51,525600,38.28
31/8/2006,40.29,40.6,40.02,40.59,535200,39.33
1/9/2006,40.25,41.08,40.01,40.89,241700,39.62
5/9/2006,41.65,42.17,41.5,42.1,669700,40.79
6/9/2006,41.84,42.58,41.56,41.7,664700,40.4
7/9/2006,40.5,40.97,40.21,40.3,851900,39.05
8/9/2006,39.6,39.6,39.1,39.24,754000,38.02
11/9/2006,37.51,37.78,36.26,36.4,1646500,35.27
12/9/2006,36.41,36.95,35.73,36.07,725900,34.95
13/9/2006,36.36,36.74,36.15,36.35,386500,35.22
14/9/2006,36.5,36.64,34.77,34.95,859600,33.86
15/9/2006,35.01,35.47,34.34,35.23,784400,34.13
18/9/2006,35.11,36.24,35.11,36.15,625000,35.02
19/9/2006,35.9,36.05,34.63,34.68,615000,33.6
20/9/2006,35.02,35.28,34.3,34.36,946400,33.29
21/9/2006,34.7,35.12,34.21,34.8,453900,33.72
22/9/2006,35.65,35.65,34.8,34.85,886000,33.76
25/9/2006,34.79,34.84,33.86,34.46,711100,33.39
26/9/2006,34.56,35.64,34.49,35.63,814100,34.52
27/9/2006,36.04,36.41,35.23,36.39,594900,35.26
28/9/2006,36.41,36.69,35.96,35.96,499300,34.84
29/9/2006,35.4,36.22,35.4,35.65,342000,34.54
2/10/2006,35.95,36.44,35.55,35.73,275600,34.62
3/10/2006,34.62,34.7,33.38,33.46,942700,32.42
4/10/2006,33.4,33.77,32.41,33.77,1014300,32.72
5/10/2006,34.46,34.8,34.04,34.51,493900,33.44
6/10/2006,34.48,34.86,33.77,34.37,458300,33.3
9/10/2006,35,35.07,34.07,34.09,477700,33.03
10/10/2006,33.56,34.69,33.53,34.43,473800,33.36
11/10/2006,34.6,34.6,33.78,33.81,385400,32.76
12/10/2006,33.93,34.78,33.72,34.7,626200,33.62
13/10/2006,35.25,35.8,35.16,35.79,977200,34.68
16/10/2006,36.2,36.2,35.41,36.06,946300,34.94
17/10/2006,35.99,35.99,35.14,35.8,402400,34.69
18/10/2006,35.99,35.99,35.1,35.18,336200,34.08
19/10/2006,35.65,36.45,35.59,36.34,782900,35.21
20/10/2006,36.29,36.6,35.73,35.74,492400,34.63
23/10/2006,35.18,36.08,35.07,36.08,481800,34.96
24/10/2006,35.51,36.6,35.51,36.33,675900,35.2
25/10/2006,36.2,37.35,36.01,37.35,746900,36.19
26/10/2006,37.5,37.64,36.91,37.27,682400,36.11
27/10/2006,37.2,37.57,36.84,36.84,433200,35.69
30/10/2006,38.04,38.04,37.01,37.01,522300,35.86
31/10/2006,37.01,37.97,37,37.96,583000,36.78
1/11/2006,38.53,38.88,37.75,38.04,856800,36.86
2/11/2006,38.15,38.8,37.92,38.34,551500,37.15
3/11/2006,38.3,38.95,38.25,38.8,1442400,37.59
6/11/2006,38.67,39.25,38.41,38.43,661700,37.23
7/11/2006,38.76,38.95,38.3,38.55,365200,37.35
8/11/2006,38.3,38.68,37.92,38.26,341100,37.07
9/11/2006,38.85,39.97,38.64,39.9,585600,38.66
10/11/2006,39.56,39.71,38.79,39.01,681900,37.8
13/11/2006,38.26,38.94,38.05,38.92,492100,37.71
14/11/2006,39.26,39.28,38.31,38.4,438000,37.2
15/11/2006,37.91,39.06,37.75,38.88,553300,37.67
16/11/2006,38.95,39.04,37.32,37.32,1309600,36.16
17/11/2006,37.04,37.67,36.67,37.35,672900,36.19
20/11/2006,37.86,38.17,37.25,37.32,343900,36.16
21/11/2006,37.89,38.74,37.87,38.69,845400,37.49
22/11/2006,39.1,39.52,38.59,38.84,463300,37.63
24/11/2006,39.93,40.21,39.65,39.9,588000,38.66
27/11/2006,40.29,40.45,39.86,39.96,545700,38.72
28/11/2006,39.99,40.4,39.7,40.4,817000,39.14
