Date,Open,High,Low,Close,Volume,Adj Close
18/11/2004,44.43,44.49,44.07,44.38,5991500,44.38
19/11/2004,44.49,44.92,44.47,44.78,11655300,44.78
22/11/2004,44.75,44.97,44.74,44.95,11996000,44.95
23/11/2004,44.88,44.92,44.72,44.75,3169200,44.75
24/11/2004,44.93,45.05,44.79,45.05,6105100,45.05
26/11/2004,45.25,45.6,45.06,45.29,3097700,45.29
29/11/2004,45.1,45.5,45.08,45.4,3759000,45.4
30/11/2004,45.37,45.41,44.82,45.12,3909100,45.12
1/12/2004,45.28,45.59,45.26,45.38,2037500,45.38
2/12/2004,45.55,45.57,44.68,44.95,6457800,44.95
3/12/2004,45.04,46,44.8,45.6,4218300,45.6
6/12/2004,45.39,45.47,45.11,45.17,3102400,45.17
7/12/2004,45.3,45.32,45.07,45.11,3797800,45.11
8/12/2004,43.8,44.02,43.36,44.01,6150300,44.01
9/12/2004,43.75,43.9,43.2,43.78,3553400,43.78
10/12/2004,43.37,43.6,43.31,43.44,2464200,43.44
13/12/2004,43.61,44.01,43.51,43.91,1445100,43.91
14/12/2004,43.76,43.8,43.51,43.55,2240600,43.55
15/12/2004,44.1,44.17,43.92,43.99,2641400,43.99
16/12/2004,43.99,44.05,43.58,43.68,3269800,43.68
17/12/2004,43.93,44.22,43.78,44.19,1889300,44.19
20/12/2004,44.33,44.37,44.13,44.34,1942100,44.34
21/12/2004,44.13,44.24,44.05,44.22,1373400,44.22
22/12/2004,44.2,44.23,43.89,44.02,2706800,44.02
23/12/2004,44.17,44.35,44.05,44.27,639800,44.27
27/12/2004,44.29,44.56,44.27,44.48,2643700,44.48
28/12/2004,44.42,44.47,44.29,44.37,773200,44.37
29/12/2004,43.92,44.02,43.35,43.66,5632200,43.66
30/12/2004,43.5,43.88,43.49,43.83,1289700,43.83
31/12/2004,43.85,43.94,43.73,43.8,531600,43.8
3/1/2005,42.98,45,42.74,43.02,5000500,43.02
4/1/2005,42.8,42.91,42.46,42.74,3456800,42.74
5/1/2005,42.75,42.88,42.6,42.67,2108700,42.67
6/1/2005,42.48,42.56,42.07,42.15,2556400,42.15
7/1/2005,42.09,42.39,41.7,41.84,4492700,41.84
10/1/2005,41.99,42.07,41.89,41.95,1026100,41.95
11/1/2005,42.21,42.28,42.12,42.21,1507100,42.21
12/1/2005,42.52,42.79,42.48,42.6,1738000,42.6
13/1/2005,42.39,42.6,42.34,42.6,718300,42.6
14/1/2005,42.19,42.32,42.13,42.32,1262300,42.32
18/1/2005,42.22,42.38,42.15,42.32,666800,42.32
19/1/2005,42.65,42.65,42.2,42.26,1578900,42.26
20/1/2005,42.12,42.32,42.11,42.25,1276200,42.25
21/1/2005,42.32,42.82,42.29,42.74,889800,42.74
24/1/2005,42.74,42.82,42.67,42.77,2294900,42.77
25/1/2005,42.53,42.56,42.1,42.24,1332500,42.24
26/1/2005,42.59,42.78,42.56,42.69,560000,42.69
27/1/2005,42.48,42.65,42.4,42.62,571200,42.62
28/1/2005,42.71,42.73,42.43,42.69,1149100,42.69
31/1/2005,42.21,42.3,41.96,42.22,1688700,42.22
1/2/2005,42.09,42.14,41.95,42.1,1088900,42.1
2/2/2005,42.22,42.23,42.02,42.16,956500,42.16
3/2/2005,41.56,41.74,41.5,41.68,2446400,41.68
4/2/2005,41.59,41.65,41.39,41.47,1819400,41.47
7/2/2005,41.55,41.55,41.21,41.27,1754000,41.27
8/2/2005,41.19,41.4,41.05,41.26,1296800,41.26
9/2/2005,41.03,41.36,41.02,41.31,3477900,41.31
10/2/2005,41.53,41.84,41.45,41.75,7774500,41.75
11/2/2005,41.89,42.16,41.83,42.08,1896500,42.08
14/2/2005,42.42,42.63,42.32,42.55,2351800,42.55
15/2/2005,42.4,42.6,42.34,42.58,1559900,42.58
16/2/2005,42.32,42.6,42.2,42.52,1820400,42.52
17/2/2005,42.52,42.81,42.51,42.73,3054200,42.73
18/2/2005,42.71,42.82,42.64,42.75,863200,42.75
22/2/2005,43.39,43.63,43.2,43.57,3378400,43.57
23/2/2005,43.29,43.55,43.15,43.42,1534900,43.42
24/2/2005,43.48,43.48,43.2,43.33,1219300,43.33
25/2/2005,43.41,43.55,43.22,43.5,1100100,43.5
28/2/2005,43.68,43.74,43.52,43.52,759100,43.52
1/3/2005,43.3,43.37,43.1,43.22,3245600,43.22
2/3/2005,43.16,43.35,43.08,43.25,1188000,43.25
3/3/2005,43.06,43.13,42.9,42.97,1924600,42.97
4/3/2005,43.31,43.52,43.31,43.38,915000,43.38
7/3/2005,43.32,43.51,43.26,43.47,1290100,43.47
8/3/2005,43.71,44.08,43.59,44.03,2674900,44.03
9/3/2005,43.95,44.2,43.92,44.02,3025000,44.02
10/3/2005,44.15,44.25,44,44.2,2065000,44.2
11/3/2005,44.31,44.67,44.28,44.43,2659600,44.43
14/3/2005,44.26,44.26,43.95,44.03,866600,44.03
15/3/2005,44.23,44.23,43.93,44.06,1254900,44.06
16/3/2005,44.29,44.35,44.2,44.31,2223300,44.31
17/3/2005,43.97,43.97,43.67,43.82,1525200,43.82
18/3/2005,43.61,43.95,43.6,43.89,1207500,43.89
21/3/2005,43.21,43.25,42.87,43.09,3814400,43.09
22/3/2005,43.21,43.22,42.55,42.65,2609400,42.65
23/3/2005,42.6,42.67,42.35,42.42,2618600,42.42
24/3/2005,42.51,42.54,42.37,42.39,1466300,42.39
28/3/2005,42.46,42.58,42.41,42.54,581100,42.54
29/3/2005,42.61,42.63,42.54,42.56,1197800,42.56
30/3/2005,42.65,42.81,42.56,42.61,1324300,42.61
31/3/2005,42.87,42.87,42.7,42.82,1363200,42.82
1/4/2005,42.6,42.62,42.45,42.62,2448500,42.62
4/4/2005,42.43,42.43,42.23,42.4,1893100,42.4
5/4/2005,42.49,42.54,42.38,42.45,888000,42.45
6/4/2005,42.49,42.72,42.49,42.63,1637500,42.63
7/4/2005,42.77,42.81,42.53,42.57,2853000,42.57
8/4/2005,42.48,42.71,42.46,42.69,1002100,42.69
11/4/2005,42.84,42.96,42.74,42.78,514100,42.78
12/4/2005,42.7,42.84,42.61,42.84,2098700,42.84
13/4/2005,42.76,42.95,42.68,42.9,384000,42.9
14/4/2005,42.45,42.48,42.16,42.31,3679800,42.31
15/4/2005,42.38,42.56,42.36,42.4,1811100,42.4
18/4/2005,42.55,42.78,42.52,42.69,909800,42.69
19/4/2005,42.79,43.36,42.72,43.28,3145400,43.28
20/4/2005,43.21,43.52,43.19,43.4,1248100,43.4
21/4/2005,43.42,43.43,43.14,43.19,1550600,43.19
22/4/2005,43.46,43.5,43.31,43.39,1169000,43.39
25/4/2005,43.35,43.45,43.22,43.44,906300,43.44
26/4/2005,43.69,43.7,43.5,43.64,1531400,43.64
27/4/2005,43.53,43.54,43.12,43.2,2762500,43.2
28/4/2005,43.16,43.27,42.99,43,2260300,43
29/4/2005,43.18,43.61,43.18,43.35,3736700,43.35
2/5/2005,43.13,43.17,42.81,42.88,1707400,42.88
3/5/2005,42.75,42.8,42.58,42.76,1268700,42.76
4/5/2005,42.87,42.92,42.73,42.9,607600,42.9
5/5/2005,42.96,42.96,42.71,42.91,319300,42.91
6/5/2005,42.43,42.63,42.34,42.52,3722700,42.52
9/5/2005,42.54,42.61,42.48,42.55,600000,42.55
10/5/2005,42.71,42.79,42.58,42.64,461000,42.64
11/5/2005,42.55,42.83,42.51,42.69,764600,42.69
12/5/2005,42.41,42.48,41.97,42.16,1878700,42.16
13/5/2005,42.12,42.12,41.83,41.95,802600,41.95
16/5/2005,41.77,41.9,41.77,41.88,874500,41.88
17/5/2005,41.95,42.05,41.83,41.86,880800,41.86
18/5/2005,41.99,42.11,41.83,42.05,2207100,42.05
19/5/2005,42,42.05,41.87,41.98,610200,41.98
20/5/2005,41.76,41.83,41.61,41.65,932800,41.65
23/5/2005,41.69,41.75,41.55,41.62,5001900,41.62
24/5/2005,41.83,41.83,41.65,41.73,1684600,41.73
25/5/2005,41.79,41.9,41.69,41.87,1535100,41.87
26/5/2005,41.73,41.81,41.65,41.69,341500,41.69
27/5/2005,41.81,41.96,41.74,41.88,2453600,41.88
31/5/2005,41.34,41.69,41.33,41.65,3198900,41.65
1/6/2005,41.41,41.65,41.4,41.53,1787900,41.53
2/6/2005,41.92,42.28,41.91,42.1,5752600,42.1
3/6/2005,42.33,42.39,42.17,42.17,3350700,42.17
6/6/2005,42.56,42.65,42.45,42.48,2470800,42.48
7/6/2005,42.48,42.48,42.31,42.38,611000,42.38
8/6/2005,42.45,42.56,42.24,42.34,691500,42.34
9/6/2005,42.24,42.4,42.03,42.27,694700,42.27
10/6/2005,42.25,42.72,42.12,42.62,1678000,42.62
13/6/2005,42.82,43.01,42.7,42.78,2331600,42.78
14/6/2005,42.66,42.7,42.58,42.6,825500,42.6
15/6/2005,42.69,42.89,42.67,42.74,2311400,42.74
16/6/2005,43.3,43.55,43.17,43.46,1809200,43.46
17/6/2005,43.78,43.85,43.61,43.63,1816500,43.63
20/6/2005,43.94,43.94,43.66,43.66,1433700,43.66
21/6/2005,43.58,43.82,43.42,43.81,672600,43.81
22/6/2005,43.66,43.76,43.53,43.72,1258500,43.72
23/6/2005,43.84,44.13,43.78,44.02,1576600,44.02
24/6/2005,43.96,44.06,43.68,43.9,473500,43.9
27/6/2005,43.9,43.93,43.73,43.91,1016600,43.91
28/6/2005,43.64,43.64,43.37,43.45,1295600,43.45
29/6/2005,43.49,43.7,43.46,43.63,1199800,43.63
30/6/2005,43.63,43.77,43.36,43.44,1087500,43.44
1/7/2005,43.4,43.4,42.59,42.7,1755100,42.7
5/7/2005,42.34,42.34,42.06,42.28,2582700,42.28
6/7/2005,42.36,42.38,42.24,42.25,1254600,42.25
7/7/2005,42.47,42.56,42.05,42.36,4345200,42.36
8/7/2005,42.32,42.4,42.12,42.26,824200,42.26
11/7/2005,42.33,42.57,42.28,42.54,2252900,42.54
12/7/2005,42.61,42.64,42.4,42.64,1274200,42.64
13/7/2005,42.35,42.38,42.25,42.35,981300,42.35
14/7/2005,42.33,42.36,41.8,41.9,1642600,41.9
15/7/2005,41.76,42.07,41.7,42.05,1104800,42.05
18/7/2005,41.96,42.17,41.94,42.01,956400,42.01
19/7/2005,41.88,42,41.81,41.89,1132600,41.89
20/7/2005,42.16,42.25,42.05,42.2,2266800,42.2
21/7/2005,42.43,42.51,42.33,42.46,1777300,42.46
22/7/2005,42.45,42.48,42.34,42.45,633300,42.45
25/7/2005,42.46,42.56,42.43,42.51,2122100,42.51
26/7/2005,42.28,42.37,42.14,42.25,637000,42.25
27/7/2005,42.3,42.5,42.3,42.44,1560600,42.44
28/7/2005,42.46,42.79,42.46,42.75,3673300,42.75
29/7/2005,42.83,42.96,42.79,42.82,1185100,42.82
1/8/2005,43.08,43.17,42.99,43.13,1493900,43.13
2/8/2005,43.07,43.15,42.99,43.14,699600,43.14
3/8/2005,43.38,43.62,43.35,43.53,1545900,43.53
4/8/2005,43.68,43.82,43.63,43.68,867600,43.68
5/8/2005,43.71,43.75,43.56,43.6,1100600,43.6
8/8/2005,43.52,43.55,43.27,43.35,1108500,43.35
9/8/2005,43.27,43.35,43.17,43.34,1305800,43.34
10/8/2005,43.5,43.66,43.45,43.65,695500,43.65
11/8/2005,43.9,44.62,43.86,44.45,2186100,44.45
12/8/2005,44.49,44.72,44.43,44.49,2428500,44.49
15/8/2005,44.19,44.27,43.98,44.13,1524500,44.13
16/8/2005,44.06,44.57,44.05,44.55,1882600,44.55
17/8/2005,44.26,44.3,43.72,43.91,1990300,43.91
18/8/2005,43.94,44.14,43.82,43.83,1093500,43.83
19/8/2005,43.77,43.88,43.49,43.6,811800,43.6
22/8/2005,43.84,43.95,43.66,43.7,877200,43.7
23/8/2005,43.84,43.9,43.71,43.76,607700,43.76
24/8/2005,43.94,43.96,43.41,43.59,894300,43.59
25/8/2005,43.76,43.81,43.6,43.73,1652600,43.73
26/8/2005,43.78,43.9,43.51,43.61,1301700,43.61
29/8/2005,43.81,43.96,43.56,43.57,1585500,43.57
30/8/2005,42.96,43.07,42.81,43.01,2200400,43.01
31/8/2005,43.1,43.4,43.03,43.4,2416500,43.4
1/9/2005,43.93,44.4,43.85,44.22,2502900,44.22
2/9/2005,44.24,44.36,44.09,44.25,1414900,44.25
6/9/2005,44.42,44.42,44.19,44.27,819700,44.27
