Date,Open,High,Low,Close,Volume,Adj Close
1994-12-16,70.87,70.87,69.87,70.12,11776000,14.44
1994-12-15,70.37,71.00,70.12,70.50,7541200,14.51
1994-12-14,69.50,70.62,69.37,70.25,8176800,14.46
1994-12-13,70.75,71.00,69.62,69.75,5476400,14.36
1994-12-12,71.12,71.37,69.62,70.62,8822400,14.54
1994-12-09,69.62,71.50,69.50,71.50,9892000,14.72
1994-12-08,71.12,71.50,69.75,70.12,6871600,14.44
1994-12-07,70.75,71.37,70.62,71.25,5262400,14.67
1994-12-06,71.25,72.00,71.25,71.62,7715200,14.74
1994-12-05,71.62,72.37,71.37,71.37,8198400,14.69
1994-12-02,69.25,71.37,68.87,71.37,7975200,14.69
1994-12-01,70.62,70.75,69.25,69.50,6638000,14.31
1994-11-30,71.12,71.25,70.62,70.75,7846400,14.57
1994-11-29,70.62,71.00,70.25,70.62,5386000,14.54
1994-11-28,70.87,71.62,70.25,70.62,7978800,14.54
1994-11-25,70.00,70.87,70.00,70.75,4382800,14.57
1994-11-23,69.25,70.00,68.00,70.00,18755600,14.41
1994-11-22,72.75,72.87,69.37,69.75,9564400,14.36
1994-11-21,73.25,74.12,72.62,72.87,6680400,15.00
1994-11-18,73.00,73.37,72.75,73.25,12490400,15.08
1994-11-17,73.25,73.75,72.75,73.12,7262000,15.05
1994-11-16,73.00,73.12,72.62,72.75,5089200,14.98
1994-11-15,72.87,73.87,72.50,73.12,6997200,15.05
1994-11-14,72.75,73.00,72.25,72.87,6049600,15.00
1994-11-11,72.00,73.00,71.75,72.37,7391600,14.90
1994-11-10,73.50,73.62,71.62,72.00,10746000,14.82
1994-11-09,73.75,74.37,73.25,74.00,10468400,15.23
1994-11-08,71.62,73.50,71.37,73.00,7476000,15.03
1994-11-07,71.37,72.25,70.75,71.87,9115600,14.80
1994-11-04,73.37,73.50,71.12,71.12,12971600,14.64
1994-11-03,74.50,74.62,73.12,73.50,6645200,15.08
1994-11-02,74.00,75.25,73.75,74.25,10678400,15.23
1994-11-01,74.37,75.25,73.50,73.87,10000000,15.16
1994-10-31,75.62,75.62,74.50,74.50,7705600,15.29
1994-10-28,74.12,76.37,74.12,76.12,10853200,15.62
1994-10-27,74.50,74.62,73.75,74.12,4998400,15.21
1994-10-26,74.00,74.50,73.62,74.37,9759200,15.26
1994-10-25,72.62,74.37,72.62,73.87,11318400,15.16
1994-10-24,74.62,74.62,72.87,73.00,10460800,14.98
1994-10-21,74.62,75.37,74.12,74.62,13490000,15.31
