Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,35.38,37.46,34.07,35.95,17504000,35.95
2012-09-03,33.40,38.63,31.73,35.27,22002200,35.27
2012-08-01,36.62,38.05,31.95,33.18,18063800,33.18
2012-07-02,39.05,40.71,33.92,36.40,17227000,36.40
2012-06-01,35.98,40.32,35.65,39.16,15314600,39.16
2012-05-01,41.45,42.24,34.51,36.72,17371400,36.72
2012-04-02,41.70,43.21,39.85,41.45,17403400,41.45
2012-03-01,42.70,43.30,39.32,41.46,17242700,41.46
2012-02-01,43.02,44.30,41.38,42.50,15497000,42.50
2012-01-02,37.85,42.69,37.85,42.69,16927000,42.69
2011-12-01,39.71,40.79,36.80,37.82,13190800,37.82
2011-11-01,39.27,43.07,38.72,39.03,19180700,39.03
2011-10-03,38.85,41.72,36.82,40.80,20035400,40.80
2011-09-01,41.39,44.97,38.95,39.23,18318500,39.23
2011-08-01,46.00,46.29,36.37,40.65,20408300,40.65
2011-07-01,45.37,47.20,45.22,45.52,12454100,45.52
2011-06-01,44.52,45.05,42.40,44.64,12353400,44.64
2011-05-02,46.29,46.30,41.77,44.84,14702400,44.84
2011-04-04,47.45,48.68,44.71,46.07,16103100,46.07
2011-03-01,49.66,49.92,44.60,47.39,16910000,47.39
2011-02-01,51.40,52.40,48.17,49.60,12298000,49.60
2011-01-03,49.40,53.65,49.10,50.99,14637100,50.99
2010-12-01,48.85,51.40,48.18,48.50,12126000,48.50
2010-11-01,48.02,50.47,47.79,48.00,13797800,48.00
2010-10-01,46.50,49.94,46.15,47.75,17240800,47.75
2010-09-01,41.95,46.56,41.15,46.30,16925200,45.85
2010-08-02,43.26,44.71,40.52,41.43,14650100,41.02
2010-07-01,38.14,43.09,37.23,42.67,18455200,42.25
2010-06-01,42.00,43.19,37.91,37.91,19065700,37.54
2010-05-03,46.54,47.05,37.50,42.88,24858500,42.46
2010-04-01,49.95,51.60,45.87,46.53,18726300,46.07
2010-03-01,44.88,49.89,44.46,49.55,16763400,48.72
2010-02-01,42.49,45.63,39.45,44.45,18118600,43.71
2010-01-04,42.60,47.50,41.32,42.14,17729900,41.44
2009-12-01,42.90,43.33,40.70,42.20,13806200,41.49
2009-11-03,39.00,43.85,38.81,42.37,17574600,41.66
2009-10-01,36.42,42.44,35.15,39.45,18881500,38.79
2009-09-01,32.93,37.50,32.20,36.60,15295400,35.99
2009-08-03,32.95,34.07,31.60,32.90,15575800,32.35
2009-07-01,30.20,32.67,27.35,32.40,18220200,31.86
2009-06-01,33.60,33.90,29.06,29.85,19733400,29.35
2009-05-04,31.71,34.70,30.81,32.50,21216500,31.96
2009-04-01,27.08,30.99,26.20,30.48,18698200,29.97
2009-03-02,26.15,28.54,25.25,26.75,21374600,26.30
2009-02-02,27.52,33.05,25.81,26.83,23025000,26.38
2009-01-02,24.42,29.90,24.23,28.01,18369000,27.54
2008-12-01,23.60,26.85,20.80,23.89,14580400,23.49
2008-11-03,25.55,28.35,20.46,24.51,19347600,24.10
2008-10-01,32.70,32.80,20.24,25.40,27658800,24.98
2008-09-01,37.30,38.65,29.09,32.71,19454300,32.16
2008-08-01,40.48,40.48,33.67,38.00,15009800,37.36
2008-07-01,45.95,46.94,36.18,40.85,19645400,40.17
2008-06-02,54.19,55.25,46.10,47.70,12065700,46.90
2008-05-02,53.99,59.22,51.80,54.36,12016300,53.45
2008-04-01,51.00,53.85,49.01,53.59,12639300,52.69
2008-03-03,49.60,51.30,43.41,50.79,13439200,49.94
2008-02-01,46.85,52.50,44.35,49.86,14637900,49.03
2008-01-02,50.49,50.75,39.95,44.77,14284300,44.02
2007-12-03,52.58,55.00,47.21,50.75,10715300,49.90
2007-11-01,53.50,55.00,46.80,52.15,14028000,51.28
2007-10-01,52.71,56.69,48.30,54.65,14682000,53.74
2007-09-03,40.91,53.79,40.70,52.20,13704300,51.33
2007-08-01,39.69,40.97,30.25,40.60,16242400,19.96
2007-07-02,36.28,42.10,36.28,39.60,12027300,19.47
2007-06-01,37.00,38.06,35.31,36.24,11151000,17.82
2007-05-02,35.00,37.97,34.39,36.72,10500900,18.05
