Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,26.79,30.05,26.60,28.68,1694700,28.68
2012-10-01,26.58,31.65,25.41,26.73,712500,26.73
2012-09-03,27.10,29.19,25.96,26.69,568400,26.69
2012-08-01,26.00,28.27,25.52,27.10,509500,27.10
2012-07-02,24.88,26.38,23.71,26.21,483700,26.19
2012-06-01,24.20,26.20,23.70,25.00,414200,24.82
2012-05-01,25.90,25.98,22.57,24.94,1246100,24.75
2012-04-02,27.32,27.43,24.84,25.90,534400,25.69
2012-03-01,26.67,28.61,26.22,27.32,830200,27.08
2012-02-01,26.00,26.75,25.34,26.65,928700,26.40
2012-01-02,25.22,27.08,24.58,25.94,624200,25.68
2011-12-01,24.90,25.80,23.71,25.29,419800,25.02
2011-11-01,24.66,25.50,22.76,24.85,545700,24.57
2011-10-03,22.30,26.20,21.44,25.00,778200,24.71
2011-09-01,24.34,25.30,21.87,22.94,582500,22.66
2011-08-01,25.05,25.38,21.13,23.65,681000,23.35
2011-07-01,26.76,27.00,23.43,24.97,390600,24.64
2011-06-01,26.15,26.78,25.21,26.78,2769900,26.41
2011-05-02,26.40,26.67,24.91,26.25,406800,25.87
2011-04-01,27.91,28.49,25.51,26.50,1647600,26.11
2011-03-01,25.39,28.07,23.89,27.88,1435000,27.45
2011-02-01,24.62,25.67,23.09,25.40,374300,25.00
2011-01-03,25.70,26.38,24.10,24.40,428900,24.00
2010-12-01,26.54,26.95,24.77,25.70,952000,25.27
2010-11-01,27.40,29.00,26.20,26.48,699600,26.02
2010-10-01,26.95,28.48,26.16,27.40,828300,26.91
2010-09-01,24.70,26.95,24.12,26.95,981100,26.46
2010-08-02,25.36,26.00,23.70,24.68,421200,24.21
2010-07-01,21.16,25.82,20.83,25.80,264700,25.30
2010-06-01,22.25,25.10,20.82,21.16,882700,18.86
2010-05-03,23.36,23.63,20.46,22.36,182400,19.79
2010-04-01,23.82,26.49,22.41,23.50,617400,20.79
2010-03-01,23.17,23.86,22.64,23.81,241600,21.05
2010-02-01,23.36,24.08,21.91,23.24,514300,20.53
2010-01-01,24.79,25.62,23.18,23.36,456500,20.63
2009-12-01,24.27,25.91,23.94,24.39,359700,19.57
2009-11-02,23.12,24.93,22.89,24.06,1306600,19.29
2009-10-01,23.80,25.17,22.48,23.12,830000,18.54
2009-09-01,20.58,24.38,20.31,24.09,2035600,19.30
2009-08-03,20.50,21.11,19.50,20.74,259500,16.61
