Date,Open,High,Low,Close,Volume,Adj Close
1994-12-16,455.35,458.80,455.35,458.80,481860000,458.80
1994-12-15,454.97,456.84,454.50,455.34,332790000,455.34
1994-12-14,450.05,456.16,450.05,454.97,355000000,454.97
1994-12-13,449.52,451.69,449.43,450.15,307110000,450.15
1994-12-12,446.95,449.48,445.62,449.47,285730000,449.47
1994-12-09,445.45,446.98,442.88,446.96,336440000,446.96
1994-12-08,451.23,452.06,444.59,445.45,362290000,445.45
1994-12-07,453.11,453.11,450.01,451.23,283490000,451.23
1994-12-06,453.29,453.93,450.35,453.11,298930000,453.11
1994-12-05,453.30,455.04,452.06,453.32,258490000,453.32
1994-12-02,448.92,453.31,448.00,453.30,284750000,453.30
1994-12-01,453.55,453.91,447.97,448.92,285920000,448.92
1994-11-30,455.17,457.13,453.27,453.69,298650000,453.69
1994-11-29,454.23,455.17,452.14,455.17,286620000,455.17
1994-11-28,452.26,454.19,451.04,454.16,265480000,454.16
1994-11-25,449.94,452.87,449.94,452.29,118290000,452.29
1994-11-23,450.01,450.61,444.18,449.93,430760000,449.93
1994-11-22,457.95,458.03,450.08,450.09,387270000,450.09
1994-11-21,461.69,463.41,457.55,458.30,293030000,458.30
1994-11-18,463.60,463.84,460.25,461.47,356730000,461.47
1994-11-17,465.71,465.83,461.47,463.57,323190000,463.57
1994-11-16,465.06,466.25,464.28,465.62,296980000,465.62
1994-11-15,466.04,468.51,462.95,465.03,336450000,465.03
1994-11-14,462.44,466.29,462.35,466.04,260380000,466.04
1994-11-11,464.17,464.17,461.45,462.35,220800000,462.35
1994-11-10,465.40,467.79,463.73,464.37,280910000,464.37
1994-11-09,465.65,469.95,463.46,465.40,337780000,465.40
1994-11-08,463.08,467.54,463.07,465.65,290860000,465.65
1994-11-07,462.31,463.56,461.25,463.07,255030000,463.07
1994-11-04,467.96,469.28,462.28,462.28,280560000,462.28
1994-11-03,466.50,468.64,466.40,467.91,285170000,467.91
1994-11-02,468.41,470.92,466.36,466.51,331360000,466.51
1994-11-01,472.26,472.26,467.64,468.42,314940000,468.42
1994-10-31,473.76,474.74,472.33,472.35,302820000,472.35
1994-10-28,465.84,473.78,465.80,473.77,381450000,473.77
1994-10-27,462.68,465.85,462.62,465.85,327790000,465.85
1994-10-26,461.55,463.77,461.22,462.62,322570000,462.62
1994-10-25,460.83,461.95,458.26,461.53,326110000,461.53
1994-10-24,464.89,466.37,460.80,460.83,282800000,460.83
1994-10-21,466.69,466.69,463.83,464.89,315310000,464.89
1994-10-20,470.37,470.37,465.39,466.85,331460000,466.85
1994-10-19,467.69,471.43,465.96,470.28,317030000,470.28
1994-10-18,469.02,469.19,466.54,467.66,259730000,467.66
1994-10-17,469.11,469.88,468.16,468.96,238490000,468.96
1994-10-14,467.78,469.53,466.11,469.10,251770000,469.10
1994-10-13,465.56,471.30,465.56,467.79,337900000,467.79
1994-10-12,465.78,466.70,464.79,465.47,269550000,465.47
1994-10-11,459.04,466.34,459.04,465.79,355540000,465.79
1994-10-10,455.12,459.29,455.12,459.04,213110000,459.04
1994-10-07,452.37,455.67,452.13,455.10,284230000,455.10
1994-10-06,453.52,454.49,452.13,452.36,272620000,452.36
1994-10-05,454.59,454.59,449.27,453.52,359670000,453.52
1994-10-04,461.77,462.46,454.03,454.59,325620000,454.59
1994-10-03,462.69,463.31,460.33,461.74,269130000,461.74
1994-09-30,462.27,465.30,461.91,462.71,291900000,462.71
1994-09-29,464.84,464.84,461.51,462.24,302280000,462.24
1994-09-28,462.10,465.55,462.10,464.84,330020000,464.84
1994-09-27,460.82,462.75,459.83,462.05,290330000,462.05
1994-09-26,459.65,460.87,459.31,460.82,272530000,460.82
1994-09-23,461.27,462.14,459.01,459.67,300060000,459.67
1994-09-22,461.45,463.22,460.96,461.27,305210000,461.27
1994-09-21,463.42,464.01,458.47,461.46,351830000,461.46
1994-09-20,470.83,470.83,463.36,463.36,326050000,463.36
1994-09-19,471.21,473.15,470.68,470.85,277110000,470.85
1994-09-16,474.81,474.81,470.06,471.19,410750000,471.19
1994-09-15,468.80,474.81,468.79,474.81,281920000,474.81
1994-09-14,467.55,468.86,466.82,468.80,297480000,468.80
1994-09-13,466.27,468.76,466.27,467.51,293370000,467.51
1994-09-12,468.18,468.42,466.15,466.21,244680000,466.21
1994-09-09,473.13,473.13,466.55,468.18,293360000,468.18
1994-09-08,470.96,473.40,470.86,473.14,295010000,473.14
1994-09-07,471.86,472.41,470.20,470.99,290330000,470.99
1994-09-06,471.00,471.92,469.64,471.86,199670000,471.86
1994-09-02,473.20,474.89,470.67,470.99,216150000,470.99
1994-09-01,475.49,475.49,471.74,473.17,282830000,473.17
1994-08-31,476.07,477.59,474.43,475.49,354650000,475.49
1994-08-30,474.59,476.61,473.56,476.07,294520000,476.07
1994-08-29,473.89,477.14,473.89,474.59,266080000,474.59
1994-08-26,468.08,474.65,468.08,473.80,305120000,473.80
1994-08-25,469.07,470.12,467.64,468.08,284230000,468.08
1994-08-24,464.51,469.05,464.51,469.03,310510000,469.03
1994-08-23,462.39,466.58,462.39,464.51,307240000,464.51
1994-08-22,463.61,463.61,461.46,462.32,235870000,462.32
1994-08-19,463.25,464.37,461.81,463.68,276630000,463.68
1994-08-18,465.10,465.10,462.30,463.17,287330000,463.17
1994-08-17,465.11,465.91,464.57,465.17,309250000,465.17
1994-08-16,461.22,465.20,459.89,465.01,306640000,465.01
1994-08-15,461.97,463.34,461.21,461.23,223210000,461.23
1994-08-12,458.88,462.27,458.88,461.94,249280000,461.94
1994-08-11,460.31,461.41,456.88,458.88,275690000,458.88
1994-08-10,457.98,460.48,457.98,460.30,279500000,460.30
1994-08-09,457.89,458.16,456.66,457.92,259140000,457.92
1994-08-08,457.08,458.30,457.01,457.89,217680000,457.89
1994-08-05,458.34,458.34,456.08,457.09,230270000,457.09
1994-08-04,461.45,461.49,458.40,458.40,289150000,458.40
1994-08-03,460.65,461.46,459.51,461.45,283840000,461.45
1994-08-02,461.01,462.77,459.70,460.56,294740000,460.56
1994-08-01,458.28,461.01,458.08,461.01,258180000,461.01
1994-07-29,454.25,459.33,454.25,458.26,269560000,458.26
1994-07-28,452.57,454.93,452.30,454.24,245990000,454.24
1994-07-27,453.36,453.38,451.36,452.57,251680000,452.57
1994-07-26,454.25,454.25,452.78,453.36,232670000,453.36
1994-07-25,453.10,454.32,452.76,454.25,213470000,454.25
1994-07-22,452.61,454.03,452.33,453.11,261600000,453.11
1994-07-21,451.60,453.22,451.00,452.61,292120000,452.61
1994-07-20,453.89,454.16,450.69,451.60,267840000,451.60
1994-07-19,455.22,455.30,453.86,453.86,251530000,453.86
1994-07-18,454.41,455.71,453.26,455.22,227460000,455.22
1994-07-15,453.28,454.33,452.80,454.16,275860000,454.16
1994-07-14,448.73,454.33,448.73,453.41,322330000,453.41
1994-07-13,448.03,450.06,447.97,448.73,265840000,448.73
1994-07-12,448.02,448.16,444.65,447.95,252250000,447.95
1994-07-11,449.56,450.24,445.27,448.06,222970000,448.06
1994-07-08,448.38,449.75,446.53,449.55,236520000,449.55
1994-07-07,446.15,448.64,446.15,448.38,259740000,448.38
1994-07-06,446.29,447.28,444.18,446.13,236230000,446.13
1994-07-05,446.20,447.62,445.14,446.37,195410000,446.37
1994-07-01,444.27,446.45,443.58,446.20,199030000,446.20
1994-06-30,447.63,448.61,443.66,444.27,293410000,444.27
1994-06-29,446.05,449.83,446.04,447.63,264430000,447.63
1994-06-28,447.36,448.47,443.08,446.07,267740000,446.07
1994-06-27,442.78,447.76,439.83,447.31,250080000,447.31
1994-06-24,449.63,449.63,442.51,442.80,261260000,442.80
1994-06-23,453.09,454.16,449.43,449.63,256480000,449.63
