Date,Open,High,Low,Close,Volume,Adj Close
1994-12-01,70.62,74.62,68.87,73.50,7991100,15.13
1994-11-01,74.37,75.25,68.00,70.75,9134300,14.57
1994-10-03,69.37,76.37,67.37,74.50,10729400,15.29
1994-09-01,66.87,71.37,66.62,69.62,9090500,14.28
1994-08-01,61.88,70.12,61.50,68.50,10930000,14.05
1994-07-01,59.00,63.13,54.50,61.88,11349600,12.65
1994-06-01,63.00,65.00,58.13,58.75,8671100,12.01
1994-05-02,57.50,64.12,56.25,63.00,9421100,12.87
1994-04-04,53.00,59.50,51.38,57.50,11643400,11.70
1994-03-01,52.88,58.88,51.38,54.63,11338000,11.12
1994-02-01,56.88,57.38,52.00,52.88,8035100,10.76
1994-01-03,56.88,60.00,54.75,56.50,10592500,11.44
1993-12-01,54.75,59.88,52.75,56.50,9299300,11.44
1993-11-01,46.00,56.13,45.75,53.88,13246400,10.91
1993-10-01,42.13,46.63,42.13,46.00,9037900,9.27
1993-09-01,45.75,46.38,41.25,42.00,7122500,8.47
1993-08-02,44.38,45.88,40.63,45.75,6844000,9.22
1993-07-01,49.63,49.75,41.13,44.50,10176600,8.92
1993-06-01,53.25,54.38,48.50,49.38,6812100,9.90
1993-05-03,49.13,54.00,47.13,52.75,8017300,10.57
1993-04-01,51.50,53.13,47.38,48.63,8105700,9.64
1993-03-01,54.75,57.13,49.88,50.88,9544200,10.09
1993-02-01,52.00,54.88,48.75,54.38,10945000,10.78
1993-01-04,51.75,53.25,45.88,51.50,16155600,10.10
1992-12-01,68.37,68.87,48.75,50.38,18612600,9.88
1992-11-02,67.00,69.87,60.88,68.25,10433500,13.39
1992-10-01,81.00,81.12,65.00,66.87,12173700,12.88
1992-09-01,86.62,88.75,80.00,80.75,6967200,15.56
1992-08-03,94.50,95.25,85.00,86.62,5963600,16.69
1992-07-01,97.87,100.37,92.37,94.75,6676100,18.01
1992-06-01,90.50,98.62,88.25,97.87,6847700,18.61
1992-05-01,91.25,94.37,90.12,90.75,5857600,17.25
1992-04-01,83.50,90.75,81.62,90.75,7660600,17.03
1992-03-02,86.87,90.25,83.12,83.50,6394900,15.67
1992-02-03,90.00,93.25,86.62,86.87,6132000,16.30
1992-01-02,89.00,98.12,88.87,90.00,7027100,16.67
1991-12-02,91.12,92.37,83.50,89.00,9257300,16.48
1991-11-01,98.37,101.37,92.37,92.50,6143500,17.13
1991-10-01,103.62,104.75,96.75,98.25,5497500,17.97
1991-09-03,97.75,106.37,97.62,103.62,6105400,18.95
1991-08-01,101.00,101.75,92.00,96.87,6038500,17.72
1991-07-01,97.62,103.00,95.62,101.25,5408800,18.30
1991-06-03,106.00,107.37,96.62,97.12,7546900,17.55
1991-05-01,102.50,106.50,100.50,106.12,6884000,19.18
1991-04-01,113.87,114.75,102.12,103.00,8053600,18.39
1991-03-01,128.25,135.00,111.00,113.87,9236000,20.34
1991-02-01,126.50,139.75,125.62,128.75,8905300,22.99
1991-01-02,112.87,127.12,105.50,126.75,8263400,22.42
1990-12-03,114.50,116.00,110.62,113.00,5620500,19.99
1990-11-01,105.37,115.12,104.87,113.62,7054000,20.10
1990-10-01,107.12,110.37,96.25,105.50,7259400,18.45
1990-09-04,101.00,109.25,100.75,106.37,6617000,18.61
1990-08-01,111.87,112.37,96.50,101.87,7353000,17.82
1990-07-02,117.50,123.12,110.50,111.50,5983800,19.28
1990-06-01,120.50,122.25,116.25,117.50,5782300,20.32
1990-05-01,109.50,122.12,107.87,120.00,7145600,20.75
1990-04-02,105.12,111.25,105.00,109.00,5828000,18.64
1990-03-01,103.75,109.37,103.37,106.12,6091900,18.15
1990-02-01,98.62,105.50,97.50,103.87,7347800,17.77
1990-01-02,94.75,101.62,94.50,98.62,7492600,16.66
1989-12-01,97.62,101.87,93.37,94.12,6807800,15.90
1989-11-01,100.25,100.75,96.00,97.62,6015000,16.49
1989-10-02,109.37,109.75,97.75,100.25,8048400,16.73
1989-09-01,116.87,118.75,107.75,109.25,6850400,18.23
1989-08-01,115.50,119.37,112.50,117.12,6617400,19.55
1989-07-03,112.50,116.75,110.62,115.00,5580700,18.99
1989-06-01,109.50,115.12,107.50,111.87,6919200,18.47
1989-05-01,113.00,113.75,107.50,109.62,6546300,18.10
1989-04-03,109.25,115.75,106.25,114.12,5798400,18.64
1989-03-01,122.12,122.37,107.62,109.12,7728900,17.82
1989-02-01,129.75,130.88,120.62,121.50,6278000,19.84
1989-01-03,121.87,130.88,120.62,130.63,6677100,21.15
1988-12-01,118.37,124.12,117.62,121.87,4464200,19.74
1988-11-01,122.87,124.37,114.12,118.50,5177500,19.19
1988-10-03,115.12,124.87,112.75,122.62,5778200,19.68
1988-09-01,111.12,116.50,109.50,115.37,5418600,18.51
1988-08-01,126.00,126.87,110.37,111.50,5243900,17.89
1988-07-01,127.75,129.50,120.00,125.75,6270900,20.00
1988-06-01,113.00,128.38,111.75,127.37,7427600,20.26
1988-05-02,113.62,115.12,107.50,112.50,4238000,17.90
1988-04-04,107.50,116.50,105.62,113.37,6586800,17.86
1988-03-01,117.87,118.62,104.25,107.62,6364000,16.95
1988-02-01,112.75,117.87,106.87,117.50,7278800,18.51
1988-01-04,117.00,124.00,108.62,112.37,8411200,17.52
1987-12-01,112.50,120.37,105.00,115.50,6797800,18.01
1987-11-02,121.00,124.87,110.00,110.75,7512500,17.27
1987-10-01,151.25,157.25,100.00,122.50,12645500,18.93
1987-09-01,168.63,169.38,148.50,150.75,9958800,23.29
1987-08-03,159.50,175.88,158.50,168.38,9344100,26.02
1987-07-01,162.88,169.88,159.13,161.00,6121800,24.71
1987-06-01,161.00,168.63,156.00,162.50,6594500,24.94
1987-05-01,160.00,167.63,155.00,160.00,7799800,24.55
1987-04-01,149.00,161.50,142.63,160.13,11346400,24.41
1987-03-02,139.50,156.63,137.63,150.13,7623800,22.89
1987-02-02,128.25,144.25,128.00,139.50,7844200,21.27
1987-01-02,121.00,130.88,115.75,128.75,9833300,19.47
1986-12-01,126.50,130.13,120.00,120.00,6369400,18.15
1986-11-03,124.00,127.87,119.25,127.12,5955600,19.22
1986-10-01,134.88,135.50,119.75,123.62,7611800,18.53
1986-09-02,138.88,145.50,133.13,134.50,8053700,20.16
1986-08-01,132.63,142.00,129.25,138.75,5616800,20.80
1986-07-01,146.50,150.13,129.88,132.50,7030900,19.69
1986-06-02,152.75,153.50,144.13,146.50,4680800,21.77
1986-05-01,156.00,157.50,142.25,152.38,6690400,22.65
1986-04-01,151.88,161.88,147.38,156.25,6731200,23.05
1986-03-03,150.38,153.50,144.50,151.50,8463400,22.35
1986-02-03,151.88,161.00,150.00,150.88,7341500,22.26
1986-01-02,154.75,156.50,143.00,151.50,6057300,22.19
1985-12-02,139.75,158.75,137.63,155.50,5625900,22.78
1985-11-01,129.63,140.75,129.63,139.75,5547500,20.47
1985-10-01,124.00,131.38,122.87,129.88,4790900,18.87
1985-09-03,126.62,130.50,122.25,123.87,5081300,18.00
1985-08-01,131.75,132.75,125.50,126.62,3209100,18.40
1985-07-01,123.75,132.50,120.00,131.38,5297000,18.93
1985-06-03,129.38,130.63,117.37,123.75,6108200,17.83
1985-05-01,126.37,133.25,124.62,128.63,4777600,18.53
1985-04-01,127.00,130.38,123.87,126.50,3977600,18.06
1985-03-01,134.50,136.75,124.12,127.00,5036200,18.13
1985-02-01,135.63,138.25,130.75,134.00,5023700,19.13
1985-01-02,122.37,137.63,119.00,136.38,6149900,19.32
1984-12-03,121.25,124.50,116.00,123.12,4578600,17.44
1984-11-01,125.75,127.75,119.50,121.75,4323000,17.24
1984-10-01,123.75,127.75,118.75,124.62,4028100,17.65
1984-09-04,123.00,128.50,120.87,124.25,4313800,17.45
1984-08-01,111.00,126.75,110.87,123.75,5456900,17.38
1984-07-02,105.75,110.87,104.00,110.62,3676200,15.39
1984-06-01,107.75,109.25,99.00,105.75,5763700,14.71
1984-05-01,114.00,117.25,105.62,107.75,4257400,14.99
1984-04-02,114.25,114.62,107.50,113.75,4759800,15.70
1984-03-01,109.75,115.75,106.62,113.87,4444600,15.71
1984-02-01,114.25,114.62,106.50,110.25,5814300,15.21
1984-01-03,122.25,125.00,112.62,114.12,5803000,15.62
1983-12-01,117.75,124.87,117.12,122.00,3722800,16.70
1983-11-01,127.25,127.75,117.37,117.37,4527300,16.06
1983-10-03,126.50,134.25,125.50,126.75,5018600,17.22
1983-09-01,119.62,129.50,118.12,126.87,3571700,17.23
1983-08-01,120.25,123.75,115.25,119.50,3106500,16.23
1983-07-01,120.62,127.00,118.62,120.37,3523100,16.22
1983-06-01,111.25,124.50,110.25,120.25,3051400,16.20
1983-05-02,116.00,118.50,109.75,111.25,2790200,14.99
1983-04-04,101.62,118.00,101.12,117.00,3787900,15.64
1983-03-01,100.75,104.87,98.62,101.75,3181800,13.60
1983-02-01,98.12,101.50,93.87,99.00,3782300,13.23
1983-01-03,94.75,100.75,92.25,98.87,4072500,13.10
1982-12-01,87.25,98.00,86.12,96.25,4029000,12.75
1982-11-01,80.50,86.50,79.50,86.50,3672600,11.46
1982-10-01,74.00,84.75,73.25,79.87,4443900,10.47
1982-09-01,70.25,77.62,69.37,73.37,4399700,9.62
1982-08-02,66.62,71.00,62.13,70.50,4148900,9.24
1982-07-01,60.63,68.62,59.38,65.62,3788700,8.49
1982-06-01,61.63,62.13,57.50,60.63,2849000,7.85
1982-05-03,64.37,65.25,61.25,61.50,2232400,7.96
1982-04-01,60.50,66.12,59.88,64.25,3092400,8.20
