Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,29.50,31.46,29.46,30.04,8820100,30.04
2012-10-01,30.78,31.45,28.19,29.68,8424900,29.68
2012-09-03,31.80,35.60,30.41,30.59,11814200,30.59
2012-08-01,32.48,34.94,31.25,31.70,8530600,31.68
2012-07-02,28.17,33.55,27.55,32.47,9729000,32.44
2012-06-01,28.73,30.68,26.90,28.29,8873700,28.25
2012-05-02,29.79,30.18,26.73,29.30,13283600,29.24
2012-04-02,35.03,35.58,29.01,30.00,11414800,29.94
2012-03-01,36.67,38.94,34.63,34.93,8002500,34.85
2012-02-01,35.30,37.49,34.67,36.80,7878100,36.70
2012-01-02,34.22,37.41,33.50,35.12,7913100,35.02
2011-12-01,32.70,34.97,32.25,33.99,8032500,33.88
2011-11-01,31.40,33.16,29.05,31.90,8965000,31.79
2011-10-03,28.85,33.83,27.51,32.73,10278300,32.60
2011-09-01,29.88,31.13,27.11,29.05,11301800,28.94
2011-08-01,31.82,31.99,25.15,28.85,14140100,28.74
2011-07-01,36.38,36.89,30.18,31.50,7549000,31.38
2011-06-01,35.69,36.57,34.58,36.45,6363600,36.31
2011-05-02,37.38,37.38,34.00,35.84,6974100,35.70
2011-04-01,38.96,39.47,35.91,37.10,6625800,36.94
2011-03-01,37.02,38.90,34.55,38.90,6366100,38.72
2011-02-01,35.85,38.39,34.17,37.00,8226500,36.82
2011-01-03,39.60,40.65,35.50,35.59,6489700,35.41
2010-12-01,40.00,40.59,37.66,39.79,5507300,39.57
2010-11-01,41.57,43.72,39.10,39.25,6139200,39.02
2010-10-01,40.55,43.18,40.23,41.50,5727600,41.25
2010-09-01,38.00,40.47,36.96,40.47,5652700,40.21
2010-08-02,39.60,39.89,35.66,37.82,5821400,37.57
2010-07-01,33.10,39.65,32.51,39.59,6310600,39.10
2010-06-01,34.06,35.78,32.43,32.50,4874600,32.08
2010-05-03,37.50,38.11,31.03,34.70,8211900,34.24
2010-04-01,39.19,40.27,36.21,37.70,4861100,37.19
2010-03-01,36.75,39.25,36.46,39.00,4336300,38.48
2010-02-01,36.29,38.03,33.81,36.50,5249700,36.01
2010-01-04,38.89,40.49,35.05,36.13,5594600,35.64
2009-12-01,38.38,40.63,37.50,38.69,4521000,38.17
2009-11-03,33.55,38.79,33.55,37.95,5395600,37.44
2009-10-01,35.73,37.63,33.00,33.50,7366200,33.05
2009-09-01,32.00,36.21,30.62,35.70,5618700,35.22
2009-08-03,34.05,36.08,31.50,31.98,5536600,31.55
2009-07-01,31.40,34.45,29.40,33.60,5601300,33.15
2009-06-01,32.81,33.12,29.26,31.10,5478600,30.68
2009-05-04,31.15,33.40,28.00,31.90,8250700,31.47
2009-04-01,25.44,30.72,25.22,30.40,7576000,29.99
2009-03-02,21.68,26.93,20.32,25.65,6318000,25.31
2009-02-02,22.86,26.43,21.91,22.20,5373000,21.90
2009-01-02,26.78,30.28,22.11,23.50,5275400,23.18
2008-12-01,25.70,30.79,25.05,26.10,4125100,25.75
2008-11-03,26.90,29.85,20.24,26.64,5916300,26.28
2008-10-01,31.40,32.44,16.91,23.30,8160800,22.99
2008-09-01,30.40,32.40,27.00,31.90,5156600,31.47
2008-08-01,33.09,34.00,29.88,30.75,3472700,30.34
2008-07-01,31.65,34.89,29.80,33.50,5318700,33.05
2008-06-02,39.51,39.90,31.99,32.60,4308400,32.16
2008-05-02,50.00,52.37,45.55,50.46,3633700,49.78
2008-04-01,40.60,48.20,39.55,47.43,3033900,46.79
2008-03-03,42.79,44.35,38.50,40.01,3590300,39.47
2008-02-01,38.92,45.30,35.57,42.60,4032300,42.03
2008-01-02,45.60,45.97,36.63,39.53,3458000,39.00
2007-12-03,49.55,51.50,44.30,45.50,2750200,44.89
2007-11-01,48.44,49.50,41.02,49.50,3500600,48.83
2007-10-01,46.41,51.37,44.61,49.40,2773200,48.74
2007-09-03,42.85,46.69,39.05,46.08,5535800,22.73
2007-08-01,42.80,43.85,35.60,43.00,6960600,21.21
2007-07-02,43.15,47.30,41.74,43.22,4352300,21.32
2007-06-01,42.85,44.28,41.45,43.00,4440600,21.21
2007-05-02,39.30,44.99,39.30,42.17,4944100,20.80
2007-04-02,35.94,40.58,35.05,39.10,4004800,19.29
2007-03-01,35.03,37.99,33.75,35.95,4380600,17.73
2007-02-01,39.60,39.91,35.28,36.40,4711300,17.95
2007-01-02,38.60,40.00,36.29,39.25,3356200,19.36
2006-12-01,36.15,38.74,35.50,38.70,2769800,19.09
2006-11-01,35.62,37.26,34.69,36.10,4061400,17.81
2006-10-02,32.82,37.35,32.25,35.25,3689600,17.39
2006-09-01,32.35,33.99,30.60,32.55,3432300,16.06
2006-08-01,32.85,33.40,30.00,32.26,3452000,15.91
2006-07-03,31.72,33.80,28.67,33.28,3353700,16.41
2006-06-01,30.75,32.90,25.51,31.55,5828400,15.56
2006-05-02,33.26,38.20,28.52,30.25,6095400,14.92
2006-04-03,32.33,34.69,31.25,32.90,3257500,16.23
2006-03-01,35.31,35.63,31.50,32.00,3534500,15.78
2006-02-01,33.25,36.50,31.55,34.35,4225300,16.94
2006-01-02,28.20,33.90,27.55,33.60,3996100,16.57
2005-12-01,28.25,29.94,27.27,28.15,2913500,13.89
2005-11-01,27.03,28.92,26.15,28.00,6944200,13.81
2005-10-03,26.70,27.73,24.25,26.95,4653000,13.30
2005-09-01,24.60,27.20,24.50,26.62,42742800,1.31
2005-08-01,22.55,24.65,22.38,24.65,62544300,1.22
2005-07-01,21.55,22.75,20.65,22.55,30331400,1.11
2005-06-01,21.35,23.00,20.99,21.60,59027200,1.07
2005-05-02,21.95,22.90,20.50,21.20,26108500,1.05
2005-04-01,21.75,22.85,20.35,22.10,41528000,1.09
2005-03-01,22.22,24.60,21.08,21.75,61685400,1.07
2005-02-01,19.48,23.34,19.42,22.50,65124400,1.11
2005-01-03,19.98,20.45,18.77,19.50,76606000,0.96
