Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,6.20,6.28,5.99,5.99,57273200,5.99
2012-09-03,6.37,7.14,6.08,6.15,29710100,6.15
2012-08-01,5.71,6.85,5.53,6.30,34165900,6.30
2012-07-02,5.52,6.86,4.97,5.65,39250300,5.65
2012-06-01,9.77,10.47,4.78,5.50,49459800,5.50
2012-05-01,13.23,14.12,9.94,10.30,23512200,10.30
2012-04-02,15.10,15.48,12.60,13.23,21957700,13.23
2012-03-01,17.10,17.48,15.01,15.10,16046400,15.10
2012-02-01,17.10,18.41,16.60,17.00,15582700,17.00
2012-01-02,13.66,16.58,13.43,16.55,17294200,16.55
2011-12-01,14.20,14.93,12.73,13.62,14223000,13.62
2011-11-01,13.50,14.78,13.44,13.96,15284400,13.96
2011-10-03,11.38,15.09,10.25,14.20,26260600,14.20
2011-09-01,11.64,12.88,10.47,11.50,24583800,11.50
2011-08-01,13.15,13.22,9.09,11.47,28236100,11.47
2011-07-01,14.62,15.41,12.52,12.92,17186900,12.92
2011-06-01,15.93,16.13,13.60,14.59,16915400,14.59
2011-05-02,16.78,17.10,13.23,16.06,22863000,16.06
2011-04-01,19.70,20.90,15.13,16.89,24186900,16.89
2011-03-01,19.55,20.25,18.00,19.65,14156100,19.65
2011-02-01,17.50,19.47,15.97,19.45,18081900,19.45
2011-01-03,20.10,20.92,17.12,17.21,16040900,17.21
2010-12-01,20.23,21.10,18.51,20.00,13950000,20.00
2010-11-01,22.46,23.23,19.83,19.90,13642400,19.90
2010-10-01,22.39,23.39,21.42,22.32,15250700,22.32
2010-09-01,21.12,22.20,18.95,22.05,17766300,22.05
2010-08-02,18.71,21.07,17.76,20.88,12633400,20.88
2010-07-01,16.90,19.04,16.50,18.59,9596800,18.59
2010-06-01,16.06,18.87,15.80,16.72,12574800,16.72
2010-05-03,17.38,17.44,14.22,16.21,22737400,16.21
2010-04-01,16.84,18.85,16.78,17.32,18559700,17.32
2010-03-01,16.00,18.35,15.65,16.65,18350100,16.65
2010-02-01,17.30,19.00,15.75,15.75,19575600,15.75
2010-01-04,17.26,19.55,16.50,16.80,18071200,16.80
2009-12-01,15.14,17.10,14.51,17.10,19035900,17.10
2009-11-03,14.70,1450.00,13.55,14.85,17713600,0.15
2009-10-01,13.45,17.30,12.88,14.25,17023300,0.14
2009-09-01,10.27,13.59,10.05,13.55,12037600,0.14
2009-08-03,11.95,12.50,10.24,10.25,7851400,0.10
2009-07-01,10.00,12.25,9.82,12.15,7027200,0.12
2009-06-01,9.79,11.99,9.78,9.99,6612300,0.10
2009-05-04,9.40,9.80,8.25,9.65,7402500,0.10
2009-04-01,7.15,9.89,7.03,9.20,7055500,0.09
2009-03-02,5.65,7.78,5.48,7.11,5991300,0.07
2009-02-02,5.50,6.18,5.31,5.65,6042700,0.06
2009-01-02,5.30,6.28,4.26,5.50,6641900,0.05
2008-12-01,3.74,5.40,3.26,5.26,7930000,0.05
2008-11-03,2.77,4.10,2.50,3.85,5120500,0.04
2008-10-01,3.96,4.20,2.58,2.75,6723000,0.03
2008-09-01,5.76,5.79,3.15,3.87,10853600,0.04
2008-08-01,7.51,7.75,4.75,5.76,8139000,0.06
2008-07-01,12.51,12.70,6.30,7.69,16030900,0.08
2008-06-04,0.01,13.85,0.01,12.70,27570000,0.13
2008-05-01,0.81,0.81,0.01,0.01,000,0.00
2008-04-03,0.81,0.81,0.81,0.81,000,1.02
2008-03-11,1.00,7.53,0.81,0.81,000,1.02
2008-02-20,0.94,0.94,0.76,0.77,000,0.97
2008-01-08,0.75,1.25,0.75,1.25,000,1.56
2007-12-07,1.50,2.50,0.81,0.81,000,1.02
2007-09-17,2.51,3.75,2.51,3.75,000,4.69
2007-02-06,3.76,3.76,3.76,3.76,700,4.70
