Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,21.53,22.50,19.30,19.62,5757000,19.62
2012-10-01,23.29,23.97,21.46,21.50,4776200,21.50
2012-09-03,21.42,24.98,20.92,23.30,7157600,23.30
2012-08-01,20.14,22.91,19.47,21.30,6712200,21.30
2012-07-02,18.70,21.00,18.54,20.05,5524300,20.05
2012-06-01,19.29,20.98,18.05,18.90,6966600,18.90
2012-05-01,22.39,23.32,18.91,19.80,6353200,19.80
2012-04-02,24.40,24.61,21.72,22.39,4727800,22.39
2012-03-01,25.95,26.60,23.77,24.30,6140900,24.30
2012-02-01,27.12,28.06,24.27,25.70,6468500,25.57
2012-01-02,23.13,28.26,22.74,26.91,5979900,26.78
2011-12-01,24.30,25.54,22.40,23.00,5166500,22.89
2011-11-01,22.09,24.85,22.09,24.12,5455400,24.00
2011-10-03,20.76,23.67,19.44,23.08,6674700,22.97
2011-09-01,23.18,23.49,20.70,20.90,5088600,20.80
2011-08-01,26.31,26.45,20.00,22.95,8131500,22.84
2011-07-01,26.15,26.57,24.80,26.00,3786700,25.87
2011-06-01,26.83,26.95,25.11,26.25,5289600,26.12
2011-05-02,28.90,75.55,26.30,26.83,4046500,26.70
2011-04-04,33.20,33.20,28.39,28.89,5209400,28.75
2011-03-01,32.52,33.70,31.44,32.62,4795400,32.35
2011-02-01,30.20,33.29,29.09,32.60,5656700,32.33
2011-01-03,30.72,31.76,28.96,30.05,5848800,29.80
2010-12-01,27.76,30.72,27.48,30.55,3795600,30.30
2010-11-01,28.80,30.56,27.05,27.37,4500100,27.14
2010-10-01,30.61,30.90,26.35,28.55,8937600,28.31
2010-09-01,30.00,33.34,29.05,30.40,9447500,30.15
2010-08-02,32.19,34.03,28.85,29.59,3800400,29.34
2010-07-01,31.01,32.26,30.00,32.04,2602600,31.60
2010-06-01,33.25,35.48,30.73,31.00,4254000,30.58
2010-05-03,36.71,36.71,29.52,34.08,5157800,33.62
2010-04-01,39.85,40.84,35.89,36.95,3211100,36.25
2010-03-01,38.82,41.80,38.20,39.70,4614900,38.81
2010-02-01,38.49,39.00,34.95,38.70,4841300,37.84
2010-01-01,41.65,42.87,37.25,38.22,3513600,37.37
2009-12-01,44.80,45.33,40.20,41.56,3079300,40.63
2009-11-02,40.50,45.00,39.86,44.11,2835500,43.12
2009-10-01,40.45,44.24,39.30,40.50,3563100,39.60
2009-09-01,37.84,41.64,36.90,40.85,3863700,39.94
2009-08-03,38.99,41.30,36.52,37.53,3839600,36.69
2009-07-01,40.49,40.70,34.71,38.55,3328100,37.69
2009-06-01,44.29,44.73,37.84,40.09,4295200,39.19
2009-05-01,36.84,44.50,36.84,43.16,4520500,42.20
2009-04-01,34.87,39.67,34.70,36.84,4659300,36.02
2009-03-02,32.19,39.37,29.90,35.38,5761800,34.27
2009-02-02,29.61,34.90,29.61,32.70,4537700,31.67
2009-01-01,27.49,31.58,26.63,30.37,3371800,29.41
2008-12-01,23.27,30.33,20.20,27.49,3632100,26.62
2008-11-03,29.10,31.60,19.54,23.75,3978900,23.00
2008-10-01,41.89,42.48,21.30,28.61,6496600,27.71
2008-09-01,42.55,44.95,32.91,42.22,4768100,40.89
2008-08-01,42.95,44.18,38.00,42.66,2708500,41.32
2008-07-01,56.00,57.31,40.74,43.94,3195000,42.56
2008-06-02,57.79,58.97,52.00,56.45,3416000,54.67
2008-05-01,50.60,63.90,50.60,57.40,4051300,55.59
2008-04-01,45.49,53.70,44.29,50.60,3462900,49.01
2008-03-03,49.01,50.10,40.69,44.83,3552900,21.71
2008-02-01,49.60,52.40,46.76,48.85,3105400,23.66
2008-01-01,52.50,52.50,38.47,48.20,3794500,23.34
