Date,Open,High,Low,Close,Volume,Adj Close
2001-01-03,5.89,7.04,5.82,6.81,41736900,0.69
2001-02-01,6.81,7.35,6.62,6.86,30358200,0.69
2001-03-01,6.87,7.22,5.70,5.87,37962600,0.59
2001-04-02,5.62,6.82,5.57,6.68,34395000,0.67
2001-05-03,6.75,7.56,6.62,7.47,27670200,0.75
2001-06-01,7.47,7.86,6.49,6.75,30358800,0.68
2001-07-02,6.74,6.85,6.25,6.78,38772600,0.68
2001-08-01,6.78,7.12,6.43,6.88,28004400,0.69
2001-09-03,6.84,7.38,6.00,6.41,40997500,0.65
2001-10-01,6.35,6.91,6.01,6.49,33448400,0.66
2001-11-01,6.39,6.80,5.71,6.19,52632100,0.62
2001-12-03,6.12,6.51,5.87,6.39,33612400,0.65
2002-01-02,6.45,6.60,5.79,6.12,27018500,0.62
2002-02-01,6.01,6.92,5.92,6.90,35420400,0.70
2002-03-01,7.05,7.60,6.90,7.22,35412900,0.73
2002-04-01,7.39,7.44,6.70,6.86,34464500,0.69
2002-05-02,6.88,7.09,6.39,6.82,25981200,0.69
2002-06-03,6.85,6.96,5.10,6.11,35459500,0.62
2002-07-01,6.19,6.19,4.75,5.17,42732800,0.52
2002-08-01,5.14,5.78,4.90,5.50,41549900,0.56
2002-09-02,5.50,6.05,4.30,4.62,46283400,0.47
2002-10-01,4.67,5.60,4.34,5.54,44617700,0.56
2002-11-01,5.59,5.78,5.07,5.51,28290000,0.56
2002-12-02,5.62,6.26,5.40,5.80,32137900,0.59
2003-01-02,5.82,6.64,5.51,5.94,40958900,0.60
2003-02-03,5.95,6.04,5.11,5.34,33643500,0.54
2003-03-05,5.24,6.21,5.20,5.80,37388200,0.59
2003-04-01,5.82,6.31,5.69,6.24,38336000,0.63
2003-05-02,6.24,7.03,6.19,6.60,41531500,0.67
2003-06-02,6.58,6.88,6.20,6.38,36881400,0.64
2003-07-01,6.39,7.26,6.34,7.06,33472700,0.71
2003-08-01,7.06,67.50,6.66,7.60,74652300,0.77
2003-09-01,7.55,8.25,7.46,7.58,43513000,0.77
2003-10-01,7.62,8.55,7.62,7.88,40499800,0.80
2003-11-03,7.93,8.71,7.88,8.36,35405700,0.84
2003-12-01,8.38,9.86,8.34,9.55,34840400,0.96
2004-01-02,9.55,11.56,9.55,9.79,49577900,0.99
2004-02-02,9.69,11.06,9.51,10.25,46594300,1.03
2004-03-01,10.33,10.98,10.00,10.69,35669000,1.08
2004-04-01,10.75,11.19,9.13,9.34,44299600,0.94
2004-05-03,9.29,9.99,8.38,8.97,47177700,0.91
2004-06-01,8.94,9.80,8.81,9.66,41916800,0.98
2004-07-01,9.62,9.90,9.20,9.76,37930600,0.99
