Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,9.65,11.18,9.42,10.70,10692800,10.70
2012-10-01,10.17,10.65,9.35,9.81,7102700,9.81
2012-09-03,8.27,12.96,7.95,10.12,14879700,10.12
2012-08-01,7.50,8.95,7.05,8.15,10859000,8.15
2012-07-02,6.32,7.49,5.57,7.38,9819800,7.38
2012-06-01,8.20,8.54,6.02,6.32,10455700,6.32
2012-05-02,10.91,11.08,8.50,8.50,6569500,8.50
2012-04-02,12.07,12.52,10.84,10.92,4893200,10.92
2012-03-01,11.65,13.70,11.65,12.01,7263200,12.01
2012-02-01,11.84,12.43,11.58,11.65,5105600,11.65
2012-01-02,10.15,11.95,10.08,11.72,5311000,11.72
2011-12-01,10.59,11.23,9.71,10.15,4967200,10.15
2011-11-01,11.31,12.50,10.17,10.36,6989900,10.36
2011-10-03,10.46,12.65,10.01,11.80,6377200,11.80
2011-09-01,12.21,12.79,10.51,10.52,7588800,10.52
2011-08-01,11.30,14.24,9.86,12.00,10458100,12.00
2011-07-01,13.70,14.24,10.66,11.00,4722300,11.00
2011-06-01,15.05,15.38,12.85,13.70,5016700,13.70
2011-05-02,16.23,16.38,14.31,15.15,5455400,15.15
2011-04-05,19.90,20.00,15.94,16.15,6610200,16.15
2011-03-01,19.13,21.80,18.25,20.47,8357400,20.47
2011-02-01,19.70,21.25,18.60,19.00,6578700,19.00
2011-01-03,19.35,21.00,18.27,19.43,6851800,19.43
2010-12-01,19.01,20.07,18.30,19.16,5097100,19.16
2010-11-01,21.40,23.10,18.70,18.70,5008300,18.70
2010-10-01,23.00,23.09,19.57,21.23,6433900,21.23
2010-09-01,22.23,23.43,21.82,22.70,11443700,22.48
2010-08-02,25.13,26.10,21.76,22.01,12159800,10.90
2010-07-01,24.20,27.23,23.55,24.74,13490900,12.25
2010-06-01,22.45,26.02,20.75,24.06,4201700,11.91
2010-05-03,28.10,28.50,21.31,22.95,000,11.36
2010-04-01,30.90,32.22,27.65,28.06,000,13.89
2010-03-01,25.75,30.90,25.41,30.46,000,15.08
2010-02-01,24.90,25.66,22.96,25.66,000,12.71
2010-01-01,24.69,25.90,22.93,24.80,000,12.28
2009-12-01,25.85,26.35,23.35,24.88,000,12.32
2009-11-02,23.00,25.80,22.19,25.60,000,12.68
2009-10-01,23.55,27.30,22.50,23.00,000,11.39
2009-09-01,22.08,24.10,21.41,23.35,000,11.56
2009-08-03,22.50,25.07,22.06,22.15,000,10.97
2009-07-01,20.94,22.24,17.51,22.14,000,10.96
2009-06-01,20.02,21.72,18.35,20.81,000,10.30
2009-05-01,16.10,19.75,15.90,19.75,000,9.78
2009-04-01,14.43,17.44,14.26,16.10,000,7.97
2009-03-02,12.69,15.12,11.35,14.75,000,7.30
2009-02-02,14.15,16.38,12.68,12.97,000,6.42
2009-01-02,13.56,15.90,13.41,14.43,3204600,7.15
2008-12-01,11.20,14.85,10.71,13.26,691000,6.57
2008-11-03,14.19,14.73,9.32,11.69,000,5.79
2008-10-01,20.35,20.45,10.93,14.00,000,6.93
2008-09-01,28.50,28.67,18.08,20.25,000,10.03
2008-08-01,34.12,34.47,25.53,28.60,2642400,14.16
2008-07-01,38.47,38.97,31.12,34.50,1043400,16.59
2008-06-02,43.25,44.14,38.24,39.50,000,18.99
2008-05-02,41.85,47.90,39.92,43.75,000,21.04
2008-04-01,33.23,40.58,32.89,40.58,000,19.51
2008-03-03,32.82,35.37,31.75,32.80,000,10.51
2008-02-01,27.80,35.33,27.80,32.67,000,10.28
2008-01-02,27.57,27.57,23.38,27.50,000,8.65
2007-12-03,30.40,30.52,24.83,27.17,5855000,8.55
2007-11-01,44.83,45.90,28.17,30.30,3773300,9.38
2007-10-01,43.15,46.67,42.08,45.33,3401700,14.03
2007-09-03,38.96,43.57,36.64,42.67,3461500,13.20
2007-08-01,37.85,39.45,29.87,38.96,4524400,12.06
2007-07-02,36.67,40.33,36.53,38.57,3434900,11.94
2007-06-01,36.00,37.27,34.61,36.67,2910700,11.35
2007-05-02,32.33,37.47,32.23,35.67,3657500,11.04
2007-04-02,32.67,33.82,29.97,32.17,4122400,9.96
2007-03-01,28.33,33.30,26.10,33.26,4307800,10.29
2007-02-01,26.80,33.00,26.80,29.47,4928500,9.12
2007-01-02,26.56,27.22,23.52,26.73,3387900,8.27
2006-12-01,24.34,26.97,23.97,26.83,2643300,8.30
2006-11-01,24.40,25.79,23.83,24.38,3130400,7.55
