Date,Open,High,Low,Close,Volume,Adj Close
2012-11-01,37.47,38.62,35.41,35.48,5243300,35.48
2012-10-01,36.57,39.08,35.01,37.45,4532900,37.45
2012-09-03,33.89,39.93,32.21,36.49,5921200,36.49
2012-08-01,37.28,38.96,32.44,33.78,4482400,33.78
2012-07-02,40.01,41.91,34.35,37.15,5159700,37.15
2012-06-01,36.62,41.57,36.37,40.13,4360600,40.13
2012-05-01,42.60,43.50,35.61,37.59,5614300,37.59
2012-04-02,42.99,44.43,40.63,42.60,4699400,42.60
2012-03-01,43.77,44.56,40.16,42.90,4075400,42.90
2012-02-01,45.00,46.30,42.51,43.55,3940000,43.55
2012-01-02,39.77,44.70,39.77,44.70,4356400,44.70
2011-12-01,42.28,43.47,38.55,39.45,3440700,39.45
2011-11-01,41.93,46.50,41.02,41.65,4667300,41.65
2011-10-03,41.95,44.89,39.00,43.71,4952500,43.71
2011-09-01,45.00,48.85,42.30,42.65,4675900,42.27
2011-08-01,50.51,50.77,39.55,44.80,5927400,44.40
2011-07-01,50.15,52.47,49.81,50.13,3107200,49.69
2011-06-01,50.00,50.35,46.88,49.49,3290400,49.05
2011-05-02,51.82,51.95,47.07,50.25,3172600,49.81
2011-04-04,53.45,54.80,50.01,51.79,3597700,51.33
2011-03-01,56.35,56.73,50.60,53.35,3132900,52.88
2011-02-01,57.41,59.00,54.41,56.30,2422500,55.80
2011-01-03,56.30,61.22,56.03,57.08,2991300,56.58
2010-12-01,54.53,58.45,54.37,55.33,2191200,54.84
2010-11-01,54.00,57.19,53.28,53.56,2815100,53.09
2010-10-01,52.61,55.63,52.18,53.60,3497700,53.13
2010-09-01,47.21,52.69,46.57,52.30,2579500,51.37
2010-08-02,49.00,51.15,45.58,46.88,2566700,46.05
2010-07-01,43.61,49.30,42.50,48.55,2680300,47.69
2010-06-01,48.82,50.40,43.50,43.65,2714700,42.88
2010-05-03,53.27,53.49,43.85,50.00,4469200,49.11
2010-04-01,57.79,60.11,52.01,53.10,2825200,52.16
2010-03-01,50.80,58.08,50.55,57.15,2820000,55.80
2010-02-01,49.39,52.56,45.70,50.45,3410700,49.26
2010-01-01,49.50,55.00,48.02,48.91,2618100,47.76
2009-12-01,49.57,50.55,47.26,49.66,2365300,48.49
2009-11-02,44.80,50.30,43.98,49.02,3184500,47.86
